FECHA;OPER;TIPO;GRUPO_NETEO;FONDO;CVA;DVA;NETO;COD
20260514;1105837;FWD;243;95;-93310.1137191855;13491.3154081973;-79818.7983109882;01
20260514;1105839;FWD;243;95;-176109.598861639;70992.1452328227;-105117.453628816;01
20260514;1105841;FWD;243;95;-300874.467059354;199847.183975199;-101027.283084155;01
20260514;1105843;FWD;243;95;-418008.913454126;337109.613394991;-80899.300059135;01
20260514;1105845;FWD;243;95;-565923.93926262;599345.772485351;33421.8332227309;01
20260514;1105847;FWD;243;95;-704174.318371261;916793.255464375;212618.937093114;01
20260514;1105849;FWD;243;95;-897965.775417168;1256892.3355814;358926.560164232;01
20260514;1105851;FWD;243;95;-1076487.06303701;1603878.43825232;527391.37521531;01
20260514;1105853;FWD;243;95;-1310744.15289167;1975739.32830813;664995.17541646;01
20260514;1105855;FWD;243;95;-1518979.58153193;2360933.60915777;841954.02762584;01
20260514;1105857;FWD;243;95;-1789068.82269561;2743138.92530366;954070.10260805;01
20260514;1105859;FWD;243;95;-2040622.39023119;3106536.28377236;1065913.89354117;01
20260514;1105861;FWD;243;95;-45716565.7745275;71181238.0403975;25464672.26587;01
20260514;1105867;FWD;243;95;-38451.2788848782;2386.88801827466;-36064.3908666035;01
20260514;1105869;FWD;243;95;-83942.4503728042;20887.0978489427;-63055.3525238615;01
20260514;1105871;FWD;243;95;-145907.057449208;75760.3780022576;-70146.6794469504;01
20260514;1105873;FWD;243;95;-216762.123105102;156326.461156398;-60435.661948704;01
20260514;1105875;FWD;243;95;-295307.177686917;269605.362606798;-25701.815080119;01
20260514;1105877;FWD;243;95;-378190.299040553;449016.06420317;70825.765162617;01
20260514;1105879;FWD;243;95;-967095.887496615;1547610.9036565;467207.115747035;01
20260514;1105881;FWD;243;95;-1130167.58259268;1766567.29076049;636399.70816781;01
20260514;1105883;FWD;243;95;-1284314.93173097;1963517.152549;679202.22081803;01
20260514;1105885;FWD;243;95;-1430240.67216905;2160597.38006211;730356.70789306;01
20260514;1105887;FWD;243;95;-1560605.0454226;2368523.21257957;807918.16715697;01
